"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"GoalDifferenceEvaluator";"k"
16;5;5;0;1;8;10;8;35;10;64;130;49;13;4;6
8;3;7;0;0;9;11;7;52;9;89;175;150;15;2;6
13;2;6;2;3;8;11;3;50;25;85;104;56;14;2;6
16;1;2;0;2;8;11;25;52;27;143;154;25;13;0;6
9;5;7;2;0;8;8;41;26;14;54;99;84;15;5;6
10;3;3;0;0;9;14;16;58;24;134;71;83;15;3;6
10;2;2;0;0;9;11;30;78;19;105;70;140;15;2;6
11;4;3;0;1;10;14;8;31;32;136;187;191;13;4;6
11;5;9;1;1;10;11;21;26;6;64;150;89;13;5;6
23;1;6;0;3;8;11;1;44;8;112;75;108;16;1;6
17;3;5;0;4;9;12;4;104;27;174;138;72;15;2;6
16;2;8;2;3;6;9;13;20;17;119;63;184;16;2;6
12;2;7;0;0;11;13;0;60;21;84;163;99;19;2;6
17;1;3;0;2;9;13;31;63;29;102;232;211;16;1;6
16;2;4;0;1;5;12;24;83;23;155;64;53;18;2;6
16;3;4;0;1;9;12;28;171;9;146;98;58;13;3;6
9;4;7;0;0;9;10;30;19;2;28;174;93;11;4;6
17;2;7;1;3;7;11;28;46;12;144;185;166;13;2;6
7;2;4;3;1;10;11;31;113;9;81;51;22;9;2;6
18;6;6;0;2;9;16;39;46;31;198;174;147;24;6;6
6;4;3;0;1;11;13;15;45;25;181;103;149;14;4;6
15;0;4;0;2;8;11;10;56;40;149;70;204;16;0;6
11;4;1;0;0;12;13;16;47;31;99;145;89;16;4;6
17;5;2;0;3;7;10;2;33;33;135;168;117;16;4;6
15;4;4;0;2;9;10;27;63;1;99;164;29;17;4;6
19;2;9;0;5;2;8;8;12;27;108;81;101;15;2;6
19;2;4;1;2;8;13;27;73;33;108;116;80;13;2;6
16;4;3;0;3;10;15;32;71;8;142;159;107;15;4;6
8;4;3;1;0;10;11;41;53;13;71;121;102;14;4;6
14;3;3;2;0;6;9;8;45;50;102;131;120;10;3;6
14;4;2;0;0;6;14;18;79;13;98;230;116;13;4;6
14;6;2;0;1;9;14;15;72;10;133;99;149;21;6;6
9;2;5;0;3;9;12;12;79;13;93;129;13;16;2;6
8;4;2;1;1;9;14;16;87;14;97;126;54;12;4;6
18;3;4;0;5;11;13;17;11;13;75;113;197;10;2;6
12;3;8;0;1;8;13;22;70;0;46;120;71;13;3;6
13;5;5;0;5;11;12;22;41;6;57;110;95;12;5;6
18;3;6;0;2;8;12;24;39;16;92;111;120;12;2;6
9;5;5;0;4;7;9;0;23;0;45;180;34;13;4;6
10;3;6;0;2;10;12;19;87;38;103;155;95;17;3;6
11;3;6;1;2;9;11;33;18;26;109;199;29;10;3;6
12;3;8;1;2;6;11;7;85;29;109;140;50;16;3;6
13;6;5;0;1;7;9;12;28;21;102;107;45;13;6;6
13;4;8;0;4;8;8;6;95;14;41;150;5;15;4;6
13;4;11;1;1;9;11;19;40;5;31;157;72;14;4;6
16;3;10;1;4;6;7;6;8;5;85;90;184;15;2;6
13;6;2;0;1;8;10;33;42;32;81;186;65;14;6;6
14;2;3;1;1;6;12;36;89;9;102;248;48;21;2;6
15;4;5;0;4;11;14;3;24;50;156;94;50;16;4;6
16;3;6;0;5;9;11;0;28;8;56;174;167;12;3;6
9;7;7;1;2;10;12;8;19;12;39;241;209;16;7;6
19;3;8;1;3;7;11;10;53;7;103;129;142;21;3;6
12;4;8;1;3;11;15;0;36;4;47;117;134;18;4;6
11;6;5;0;0;7;9;19;24;22;71;126;178;12;6;6
12;4;7;0;2;11;13;10;0;45;131;215;37;18;4;6
17;2;2;0;2;7;10;16;58;52;121;119;191;17;2;6
12;5;7;1;2;10;13;31;76;16;62;142;63;14;5;6
11;3;8;1;2;9;12;24;27;15;123;196;142;20;3;6
11;4;4;1;1;8;10;18;34;25;42;116;126;10;4;6
17;1;5;1;4;8;11;0;40;9;78;151;130;16;1;6
21;5;2;0;2;12;14;32;88;17;83;176;120;18;5;6
10;3;8;0;3;12;15;38;54;15;68;102;97;16;3;6
14;2;6;1;3;12;15;22;32;11;150;89;164;18;2;6
12;3;6;1;1;8;12;15;38;34;93;130;116;14;2;6
14;5;2;1;2;3;6;1;10;8;55;276;204;17;5;6
21;4;11;0;2;6;8;14;138;35;129;97;141;18;4;6
11;4;9;0;1;8;8;12;29;4;30;106;136;12;3;6
11;5;2;0;3;9;12;1;31;20;121;116;139;10;3;6
12;4;2;0;2;5;10;13;28;4;185;77;137;13;4;6
18;1;6;0;4;10;13;17;22;8;94;207;136;19;1;6
12;3;3;0;3;11;13;37;43;9;55;133;191;15;3;6
15;2;7;0;2;12;14;0;39;4;63;107;51;10;2;6
16;2;5;0;4;7;12;7;52;2;69;194;168;18;2;6
16;2;7;0;2;9;9;9;69;0;33;27;151;10;2;6
24;2;7;0;2;8;10;15;156;37;174;185;25;17;2;6
13;3;2;0;1;7;10;32;35;14;147;180;31;13;3;6
16;8;5;0;2;12;15;28;98;22;124;221;129;18;8;6
13;6;2;1;1;8;10;16;55;5;62;177;29;10;6;6
16;3;5;0;6;9;12;7;31;39;151;117;62;17;3;6
9;3;5;1;2;5;9;16;92;24;63;114;150;17;3;6
19;1;4;0;3;5;8;0;14;39;142;35;105;11;1;6
6;2;6;0;3;11;11;2;42;14;126;104;123;11;1;6
13;6;7;0;1;9;13;2;55;0;58;101;101;18;6;6
16;5;8;0;5;11;14;0;56;2;47;198;130;17;5;6
14;4;6;1;5;9;10;16;46;16;56;180;126;12;4;6
16;3;7;0;2;7;8;18;37;24;67;64;69;12;3;6
21;2;6;0;5;7;10;0;11;14;119;163;187;13;1;6
16;3;5;2;1;9;11;14;91;10;75;215;94;19;3;6
13;4;6;1;2;7;10;9;66;12;84;170;105;14;4;6
8;4;8;2;0;7;9;50;57;4;53;143;65;14;4;6
10;1;6;2;2;4;7;18;26;4;62;52;142;9;1;6
10;3;9;0;4;8;8;8;19;29;81;146;154;16;3;6
14;2;7;0;3;4;8;0;25;21;65;88;43;15;2;6
9;0;8;1;3;4;6;10;75;7;95;100;101;15;0;6
14;4;9;1;2;9;11;0;21;20;135;105;55;10;3;6
11;3;8;2;1;6;11;18;79;34;98;83;170;14;3;6
12;3;11;0;4;11;12;12;107;0;45;142;63;15;3;6
16;0;7;1;3;5;6;0;42;9;48;40;116;12;-1;6
13;0;4;0;1;9;12;6;97;33;123;188;8;14;0;6
13;5;4;1;2;10;11;36;95;0;75;149;33;14;5;6
13;2;5;1;1;9;15;29;82;28;153;193;71;20;1;6
10;6;2;0;1;8;11;40;85;24;100;235;188;14;6;6
15;3;1;0;3;9;10;0;22;0;68;183;90;14;3;6
16;5;3;0;3;9;13;19;83;0;148;195;79;15;4;6
13;4;1;0;2;8;12;15;66;18;104;142;92;10;4;6
15;3;2;1;6;6;8;12;38;5;79;72;202;10;3;6
16;2;5;0;3;7;10;13;49;0;116;124;151;13;2;6
13;4;3;2;2;5;6;19;86;27;84;104;53;10;4;6
8;4;5;0;0;6;10;6;35;38;164;118;114;19;4;6
14;7;2;0;1;11;13;28;127;17;140;231;105;18;7;6
13;5;6;2;2;12;16;21;26;12;105;237;147;15;5;6
11;4;4;0;0;10;11;0;43;31;87;116;201;12;4;6
18;6;7;1;5;8;11;27;101;5;71;219;140;18;6;6
7;4;6;0;0;9;12;35;77;21;90;129;53;14;4;6
14;1;4;1;2;8;10;9;65;22;165;128;132;19;1;6
15;1;6;0;4;6;10;0;13;11;104;129;106;14;1;6
15;5;7;1;1;7;8;7;104;7;91;83;43;15;5;6
13;4;8;0;0;7;7;6;7;10;87;163;96;13;4;6
17;0;3;1;3;6;9;19;24;7;105;84;160;12;0;6
9;3;5;0;2;10;12;35;17;9;61;213;110;13;3;6
7;4;5;0;3;6;10;6;97;16;81;139;10;8;4;6
10;4;3;1;1;11;17;21;38;44;88;161;51;15;4;6
18;2;4;2;3;9;13;13;84;9;84;163;49;13;2;6
14;5;5;2;1;9;11;9;18;7;79;145;134;9;4;6
11;4;5;0;5;6;9;27;35;21;59;197;141;12;4;6
19;2;5;1;5;11;14;7;40;57;126;117;78;14;2;6
14;6;1;0;0;8;9;13;9;2;86;212;122;13;4;6
16;4;3;1;1;8;9;31;25;10;128;204;116;10;2;6
17;3;7;0;2;8;12;10;75;6;130;97;33;16;3;6
15;6;3;0;4;8;9;0;40;60;136;171;90;16;6;6
11;4;5;0;1;7;12;35;42;12;160;209;39;14;4;6
12;3;5;1;1;4;10;5;40;14;66;88;303;12;3;6
18;3;7;1;3;7;7;8;92;35;113;73;57;10;3;6
