"passmisses";"goals";"outsides";"goalkicks";"passmisses_offside";"fast_attacks";"all_attacks";"leftwing_1stquarter_possession";"leftwing_2ndquarter_possession";"middlewing_1stquarter_possession";"middlewing_2ndquarter_possession";"middlewing_4thquarter_possession";"rightwing_3rdquarter_possession";"passchains";"k"
19;3;2;0;0;4;12;13;111;8;100;69;380;13;4
18;2;2;0;5;8;16;0;9;35;147;100;573;19;4
18;1;3;1;5;6;15;25;59;9;154;66;434;17;4
25;0;4;1;3;7;17;5;84;23;148;31;764;26;4
25;1;4;0;3;5;12;0;108;18;102;75;478;20;4
30;1;3;0;5;8;15;6;114;7;101;90;324;16;4
22;3;3;0;1;10;15;40;136;10;142;96;367;16;4
25;5;3;0;3;8;16;3;133;10;160;136;269;15;4
25;3;4;1;5;9;16;5;37;14;149;91;629;12;4
20;4;2;0;2;7;13;0;75;15;135;190;469;16;4
30;1;6;1;3;3;12;33;207;42;160;33;434;16;4
19;2;7;0;4;6;12;32;107;13;172;65;372;19;4
22;4;3;1;1;7;20;15;197;23;170;60;293;20;4
23;2;4;1;5;9;19;36;99;13;229;79;447;13;4
23;0;4;0;0;6;15;22;69;21;234;34;359;18;4
29;2;5;0;1;3;11;3;172;13;303;62;333;20;4
19;2;3;0;1;11;18;14;72;32;143;142;382;15;4
24;4;2;0;3;12;16;4;141;2;108;127;284;18;4
26;0;1;0;5;5;12;22;134;54;154;22;321;11;4
21;1;5;0;0;6;17;22;155;12;148;66;281;20;4
17;2;6;2;2;8;16;26;130;33;213;106;323;20;4
22;2;4;1;1;3;9;45;119;53;153;32;491;14;4
21;1;6;1;0;6;22;32;198;14;250;38;514;17;4
29;0;6;0;2;7;15;10;144;41;155;83;193;16;4
29;1;6;0;2;10;18;0;113;28;178;53;462;18;4
27;1;5;1;0;2;10;4;124;64;148;45;329;17;4
18;3;7;0;3;7;14;23;146;33;152;71;257;20;4
27;1;6;0;3;9;17;29;62;42;127;23;381;18;4
33;1;3;0;2;6;18;13;195;27;225;85;295;19;4
26;2;7;0;1;9;16;10;106;58;192;74;535;20;4
21;4;6;0;3;9;14;28;162;9;140;74;367;14;4
22;0;7;0;2;10;17;10;132;48;164;79;425;13;4
25;4;3;0;1;6;17;27;157;2;192;70;406;18;4
20;2;10;0;3;8;14;7;73;5;111;42;276;12;4
27;0;10;0;4;7;9;40;75;10;81;21;372;18;4
19;1;7;1;3;5;14;25;178;48;161;98;355;22;4
37;1;4;0;5;3;11;3;85;5;140;43;575;22;4
23;1;4;0;6;4;16;2;164;25;113;45;239;22;4
20;5;4;0;3;7;13;7;163;2;67;79;213;15;4
19;0;2;0;2;9;19;20;73;40;216;59;449;20;4
27;2;2;0;3;6;11;11;103;14;82;48;568;19;4
16;6;5;0;3;10;17;9;55;43;145;185;517;16;4
23;1;4;0;2;11;14;17;79;3;127;153;201;18;4
20;3;4;0;2;5;10;27;159;25;83;86;206;17;4
25;4;2;0;0;4;8;21;95;54;82;109;522;19;4
19;2;2;0;2;8;13;11;82;18;75;158;336;19;4
23;4;4;0;8;9;17;9;80;25;110;78;366;17;4
18;2;3;0;2;9;16;30;100;34;141;39;511;17;4
23;2;5;0;1;6;15;18;120;30;140;60;359;19;4
18;5;1;0;1;5;13;0;6;19;114;92;749;16;4
15;2;4;0;0;6;12;0;41;13;108;99;387;25;4
19;3;2;0;2;9;19;28;82;19;80;71;309;15;4
16;1;5;0;0;10;19;2;67;0;182;60;585;15;4
20;2;5;0;2;7;14;18;101;37;88;106;346;15;4
18;1;4;0;0;7;18;15;115;28;225;62;322;19;4
17;3;2;0;3;7;13;1;109;11;145;114;350;16;4
