;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
2006
FCPortugal2006;11;3;0;0;14;0.16455696;0.35515873;0.27505827;0.38532112;0.13504823;0.14467592;0.24115757;0.3980583;0.047619047;0.26215645;0.14673912;0.42718445;1;0;1;1;0;0;3;0;0;0;0;1;5;62;70;0.0237226277372;0.163321167883;0.107664233577;0.11496350365;0.0383211678832;0.114051094891;0.0684306569343;0.0748175182482;0.0118613138686;0.113138686131;0.0492700729927;0.120437956204;16;16;0
WE2006;8;7;1;0;16;0.17152103;0.4347826;0.58773785;0.8864469;0.1553398;0.5755627;0.630787;0.58199356;0.13455658;0.34498833;0.54761906;0.5886076;3;3;0;0;0;3;11;1;0;0;1;0;24;122;28;0.0237561631555;0.0717167189601;0.124607799193;0.108471537427;0.014343343792;0.0802330793366;0.244285073958;0.0811295383236;0.019722097714;0.0663379650381;0.123711340206;0.0416853428956;22;22;0

Oxsy;12;4;0;0;16;0.16085272;0.29832571;0.2789855;0.88333336;0.28176796;0.5689655;0.6320755;0.08571429;0.19666668;0.18721462;0.32735424;0.41121494;3;3;0;2;0;1;0;0;0;0;0;1;11;80;60;0.0638461538462;0.150769230769;0.0592307692308;0.0407692307692;0.0784615384615;0.152307692308;0.206153846154;0.00461538461538;0.0907692307692;0.0630769230769;0.0561538461538;0.0338461538462;15;15;0
FCPortugal2006;14;5;2;0;21;0.30841122;0.38116592;0.5502283;0.555;0.32857143;0.15330188;0.2729885;0.4309392;0.0;0.35507248;0.4718417;0.6569768;2;2;0;0;0;2;17;1;0;0;1;0;5;64;34;0.0185601799775;0.0478065241845;0.135545556805;0.187289088864;0.0129358830146;0.0365579302587;0.0534308211474;0.0877390326209;0.0;0.0551181102362;0.174353205849;0.190663667042;14;14;0

Oxsy;17;3;0;0;20;0.09215017;0.25436047;0.15863455;0.12857143;0.352071;0.41210938;0.43609024;0.48387096;0.30246914;0.32687653;0.2606232;0.34782608;0;0;0;0;0;0;0;0;0;0;0;0;7;63;68;0.0229982964225;0.149063032368;0.0672913117547;0.0076660988075;0.10136286201;0.179727427598;0.197614991482;0.0255536626917;0.041737649063;0.114991482112;0.0783645655877;0.0136286201022;9;9;0
ZJUBase;11;5;1;0;17;0.06521739;0.24929178;0.3898305;0.12345679;0.20967741;0.30827066;0.421875;0.352071;0.17142859;0.3815261;0.5218023;0.5460751;2;2;0;1;0;1;7;0;0;0;0;0;7;63;19;0.00199335548173;0.0584717607973;0.106976744186;0.0132890365449;0.00863787375415;0.108970099668;0.143521594684;0.0790697674419;0.00797342192691;0.126245847176;0.23853820598;0.106312292359;7;7;0

WE2006;7;6;1;0;14;0.41935482;0.27062706;0.48221344;0.5925926;0.3901099;0.35963303;0.4717949;0.504363;0.08333334;0.5425101;0.5843829;0.7007874;7;5;2;2;0;5;17;1;0;0;1;1;21;139;72;0.0251450676983;0.0396518375242;0.0589941972921;0.0773694390716;0.034332688588;0.0947775628627;0.177949709865;0.139748549323;0.00290135396518;0.0647969052224;0.112185686654;0.172147001934;20;20;0
Oxsy;8;6;1;0;15;0.129921255;0.1536524;0.16194332;0.05555556;0.17801048;0.41923077;0.39633026;0.2802198;0.07777778;0.26482212;0.27062706;0.4435484;2;2;0;1;0;1;4;1;0;0;1;1;9;66;26;0.0604395604396;0.0558608058608;0.03663003663;0.003663003663;0.0934065934066;0.299450549451;0.197802197802;0.0467032967033;0.0192307692308;0.0613553113553;0.0750915750916;0.0503663003663;6;6;0

WE2006;3;6;0;0;9;0.2481203;0.17842323;0.39055794;0.6208054;0.4390244;0.5992063;0.528777;0.56209152;0.33333336;0.32673267;0.3008596;0.6529411;3;3;0;3;0;0;9;4;0;0;4;0;22;122;34;0.0204714640199;0.0266749379653;0.0564516129032;0.11476426799;0.0334987593052;0.187344913151;0.182382133995;0.106699751861;0.0279156327543;0.0409429280397;0.0651364764268;0.137717121588;13;13;0
ZJUBase;5;2;0;0;7;0.13235294;0.38395416;0.22772278;0.0;0.062091503;0.21582733;0.057539682;0.048780484;0.13087249;0.29613733;0.33195023;0.20300753;2;2;0;2;0;0;1;0;0;0;0;4;4;32;15;0.0732899022801;0.218241042345;0.0749185667752;0.0;0.0309446254072;0.195439739414;0.0472312703583;0.00977198697068;0.0635179153094;0.112377850163;0.130293159609;0.0439739413681;2;2;0

ZJUBase;12;2;1;0;15;0.10457517;0.2962963;0.41346153;0.44660194;0.22222223;0.55054432;0.6270492;0.41666664;0.26288658;0.4019608;0.5471698;0.65644165;8;8;0;6;0;2;5;2;0;0;2;0;7;70;18;0.00769600769601;0.042328042328;0.0620490620491;0.022126022126;0.012506012506;0.170274170274;0.220779220779;0.0505050505051;0.024531024531;0.0986050986051;0.237133237133;0.0514670514671;6;6;0
