;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
2006
TokyoTech2006;8;10;0;0;18;0.062146893;0.4318182;0.5317919;0.7004951;0.25680933;0.24248926;0.26946106;0.23497267;0.14084508;0.44166668;0.5175159;0.6820277;4;3;1;1;0;3;13;0;0;0;0;0;10;79;12;0.00563524590164;0.0876024590164;0.094262295082;0.144979508197;0.0338114754098;0.0578893442623;0.046106557377;0.0440573770492;0.0102459016393;0.0814549180328;0.166495901639;0.227459016393;17;17;0

WE2006;4;12;1;0;17;0.19245283;0.20555555;0.27044025;0.3488372;0.52150536;0.7004951;0.62653057;0.50208336;0.17307693;0.2310606;0.56682026;0.9126214;5;5;0;5;0;0;19;10;2;0;8;0;22;128;42;0.058452722063;0.0848137535817;0.0739255014327;0.0171919770774;0.0555873925501;0.16217765043;0.175931232092;0.138108882521;0.0206303724928;0.0349570200573;0.0704871060172;0.107736389685;24;24;0
YowAI2006;6;12;0;0;18;0.0;0.32718895;0.6780303;0.6971153;0.12291667;0.19591837;0.18564358;0.23655914;0.61627907;0.572327;0.56944443;0.5283019;5;5;0;1;0;4;8;0;0;0;0;10;9;69;21;0.0;0.0421364985163;0.106231454006;0.0860534124629;0.0350148367953;0.0569732937685;0.0445103857567;0.0261127596439;0.0314540059347;0.162017804154;0.243323442136;0.166172106825;17;17;0

YowAI2006;7;4;0;0;11;0.025316455;0.7295597;0.6977887;0.4117647;0.31460676;0.32865734;0.6517357;0.6631016;0.044680853;0.4413408;0.43260185;0.556701;4;4;0;1;0;3;4;1;0;0;1;0;16;99;32;0.000994035785288;0.0576540755467;0.141153081511;0.0208747514911;0.0278330019881;0.0815109343936;0.289264413519;0.0616302186879;0.0104373757455;0.117793240557;0.13717693837;0.0536779324056;24;24;0
Mersad;4;6;2;0;12;0.24742268;0.3510972;0.31843576;0.59361702;0.10695187;0.19932812;0.38076153;0.2977528;0.078431377;0.12776412;0.16352201;0.5316456;1;1;0;1;0;0;7;0;0;0;0;1;21;122;29;0.0371804802479;0.173508907823;0.132455460883;0.216111541441;0.0154918667699;0.137877614253;0.147172734314;0.0410534469404;0.00619674670798;0.0402788536019;0.0201394268009;0.0325329202169;4;4;0


Place11-12
AmoiensisNQ;5;3;0;0;8;0.2086331;0.22953451;0.47023808;0.4784946;0.30081303;0.26595745;0.26395937;0.4385965;0.33240997;0.16117216;0.24;0.42857143;0;0;0;0;0;0;4;0;0;0;0;1;10;65;46;0.107407407407;0.132407407407;0.219444444444;0.0824074074074;0.0342592592593;0.138888888889;0.0962962962963;0.0231481481481;0.111111111111;0.0407407407407;0.00555555555556;0.00833333333333;10;10;0
CZU;8;8;0;0;16;0.5714286;0.52;0.54945057;0.46537395;0.22807016;0.57360405;0.53014183;0.23577236;0.16666668;0.3988095;0.49598713;0.5071942;5;5;0;1;0;4;7;1;0;0;1;0;13;84;26;0.0069244085401;0.00750144258511;0.0865551067513;0.0969417195615;0.00750144258511;0.130409694172;0.172533179458;0.0167339873053;0.0178880553953;0.115983843047;0.178303519908;0.162723600692;23;23;0


Place13-14
YowAI2006;5;3;1;0;9;0.16666668;0.3504902;0.4650735;0.46696033;0.38157894;0.43916912;0.27901236;0.1875;0.27559053;0.5631399;0.6778847;0.33223686;4;4;0;2;0;2;8;2;0;0;2;1;14;83;34;0.0141277641278;0.0878378378378;0.155405405405;0.0651105651106;0.0534398034398;0.181818181818;0.0694103194103;0.014742014742;0.0214987714988;0.101351351351;0.173218673219;0.0620393120393;9;9;0
RoboSina;2;2;0;0;4;0.19736843;0.12980769;0.31399319;0.2913386;0.46875;0.60740738;0.29821959;0.26754385;0.14537445;0.38602943;0.45098038;0.55072464;2;2;0;1;0;1;3;1;0;0;1;2;12;76;20;0.0456621004566;0.041095890411;0.0700152207002;0.0281582952816;0.0456621004566;0.187214611872;0.15296803653;0.0464231354642;0.0251141552511;0.159817351598;0.1400304414;0.0578386605784;10;10;0


Place15-16
Mersad;2;5;1;0;8;0.056218057;0.20604914;0.45774647;0.6372549;0.22772278;0.17119566;0.2616137;0.19858156;0.174946;0.11464088;0.24203821;0.47252747;0;0;0;0;0;0;2;0;0;0;0;1;9;62;48;0.0393325387366;0.129916567342;0.07747318236;0.07747318236;0.0274135876043;0.150178784267;0.127532777116;0.0333730631704;0.0965435041716;0.0989272943981;0.0905840286055;0.0512514898689;10;10;0
AT-Humboldt;10;11;1;0;22;0.07692308;0.51273884;0.6809392;0.6911447;0.4680851;0.59902203;0.70108696;0.37623764;0.20588236;0.25352112;0.72967865;0.8228279;3;3;0;1;0;2;7;1;0;1;0;0;19;131;16;0.00252525252525;0.0580808080808;0.17784992785;0.11544011544;0.0238095238095;0.0883838383838;0.186147186147;0.0137085137085;0.00757575757576;0.012987012987;0.13924963925;0.174242424242;31;31;0


Place5-6
ZJUBase;25;5;2;0;32;0.2303207;0.39847473;0.54830288;0.38666664;0.303125;0.48811703;0.5419355;0.13333334;0.20493359;0.3667791;0.36758472;0.15827338;7;7;0;6;0;1;2;0;0;0;0;0;11;130;68;0.0456251804794;0.120704591395;0.121282125325;0.0167484839734;0.0280103956107;0.154201559342;0.24256425065;0.00750794109154;0.0311868322264;0.125613629801;0.100202136876;0.0063528732313;14;14;0
FCPortugal2006;14;5;2;0;21;0.12230216;0.41631355;0.23271502;0.3586338;0.13333334;0.20451612;0.2084095;0.26875002;0.16;0.20365534;0.18970448;0.43002914;5;5;0;2;0;3;5;0;0;0;0;0;15;141;91;0.00770625566636;0.17815049864;0.125113327289;0.0856754306437;0.011786038078;0.14369900272;0.103354487761;0.0389845874887;0.0108794197643;0.0707162284678;0.0902085222121;0.133726201269;29;29;0


Place9-10
SEU-2D;6;0;1;0;7;0.1620438;0.32957394;0.310559;0.7965368;0.19457014;0.2267658;0.25596529;0.5;0.10876133;0.29144386;0.50960117;0.58282207;0;0;0;0;0;0;1;0;0;0;0;1;5;70;82;0.0574831693423;0.136198860694;0.0776799585707;0.0952874158467;0.0445365095805;0.126359399275;0.0611082340756;0.0233039875712;0.0372863801139;0.112894873123;0.178663904713;0.0491973070948;9;9;0
DAINAMITE;4;9;1;0;14;0.14723927;0.31019201;0.45989304;0.7009064;0.17777779;0.51626896;0.50464684;0.4117647;0.06926407;0.4699793;0.4310777;0.55328465;3;3;0;3;0;0;20;1;0;1;0;0;29;198;42;0.00803481754268;0.0703046534985;0.115165718112;0.155339805825;0.00535654502846;0.0796786072983;0.181787746903;0.0609306996987;0.00535654502846;0.0759959825912;0.115165718112;0.126883160362;37;37;0




2007
Final
Brainstormers07;9;9;1;0;19;0.53539825;0.30394432;0.17970402;0.79204895;0.43604652;0.16382254;0.28989363;0.4550898;0.08231708;0.36969696;0.51367783;0.5691244;3;2;1;1;0;2;19;3;0;0;3;0;12;82;20;0.0731559854897;0.0792019347037;0.0513905683192;0.156590084643;0.0453446191052;0.0580411124547;0.0659008464329;0.0918984280532;0.0163240628779;0.110640870617;0.102176541717;0.149334945586;12;12;0
WE2007;4;1;1;0;6;0.15898618;0.17629179;0.3292929;0.6829269;0.24251497;0.45212765;0.57167236;0.21511627;0.033639145;0.43763214;0.4013921;0.2477876;0;0;0;0;0;0;1;0;0;0;0;3;16;102;29;0.0435606060606;0.0366161616162;0.102904040404;0.141414141414;0.0511363636364;0.107323232323;0.21148989899;0.0233585858586;0.00694444444444;0.130681818182;0.109217171717;0.0353535353535;16;16;0


Group A
AT-Humboldt_Hans_Meier;2;12;0;0;14;0.24166666;0.39879154;0.4643545;0.7885714;0.36144577;0.55988026;0.50718956;0.44519016;0.15966387;0.46107784;0.7;0.6593002;5;4;1;2;0;3;15;10;1;0;9;1;19;120;48;0.0119538334707;0.0544105523495;0.0993404781533;0.113767518549;0.0123660346249;0.0770816158285;0.159934047815;0.0820280296785;0.0078318219291;0.0634789777411;0.170239076669;0.14756801319;13;13;0
Oxsy;6;5;1;0;12;0.06077348;0.0881356;0.26946106;0.44537815;0.08053691;0.22875816;0.13772455;0.36144577;0.008571428;0.12716763;0.11178247;0.375;0;0;0;0;0;0;2;1;0;0;1;10;3;42;39;0.0495495495495;0.0780780780781;0.135135135135;0.0795795795796;0.0540540540541;0.262762762763;0.0690690690691;0.045045045045;0.0045045045045;0.0990990990991;0.0555555555556;0.0675675675676;9;9;0

Brasil2D;1;0;1;0;2;0.060650887;0.072639227;0.0;0.0;0.203125;0.21303;0.34042553;0.4516129;0.043656206;0.044155846;0.037037036;0.0;0;0;0;0;0;0;0;0;0;0;0;18;3;37;40;0.072695035461;0.0531914893617;0.0;0.0;0.253546099291;0.36524822695;0.141843971631;0.0248226950355;0.0567375886525;0.0301418439716;0.00177304964539;0.0;3;3;0
AT-Humboldt_Hans_Meier;2;11;0;0;13;0.0;0.9259259;0.8805195;0.73533424;0.38709675;0.45106384;0.4808687;0.30681818;0.0;0.26666668;0.63438255;0.7085799;7;7;0;3;0;4;26;18;4;1;13;0;19;164;37;0.0;0.010216591745;0.138536984062;0.220269718022;0.0049039640376;0.0433183489988;0.190028606457;0.0882713526767;0.0;0.0016346546792;0.107069881488;0.195749897834;20;20;0

Oxsy;3;29;2;0;34;0.25454544;0.35135136;0.6407767;0.7668067;0.0;0.62078648;0.56590755;0.4751131;0.0;0.44736843;0.4261745;0.75882355;12;9;3;5;0;7;27;31;10;0;21;0;34;171;30;0.00558213716108;0.0103668261563;0.105263157895;0.145534290271;0.0;0.0881180223285;0.326953748006;0.209330143541;0.0;0.00677830940989;0.0506379585327;0.0514354066986;40;40;0
Brasil2D;7;0;1;0;8;0.07058824;0.25838926;0.05263158;0.0;0.16289593;0.19806763;0.13483146;0.0;0.05672269;0.20873787;0.5675676;0.38181816;0;0;0;0;0;0;0;0;0;0;0;31;1;46;17;0.0153452685422;0.0984654731458;0.00255754475703;0.0;0.230179028133;0.367007672634;0.0613810741688;0.0;0.0345268542199;0.109974424552;0.0537084398977;0.0268542199488;2;2;0

WE2007;2;4;0;0;6;0.16793894;0.23324398;0.47634068;0.5543478;0.45602604;0.2735849;0.35519127;0.33632286;0.24900398;0.16081871;0.23214285;0.54000004;2;2;0;1;0;1;4;0;0;0;0;0;9;50;18;0.0567010309278;0.0747422680412;0.129725085911;0.131443298969;0.120274914089;0.0996563573883;0.111683848797;0.0644329896907;0.107388316151;0.0472508591065;0.0335051546392;0.0231958762887;12;12;0
AT-Humboldt_Hans_Meier;1;5;2;0;8;0.18;0.4761905;0.5350877;0.5258964;0.33183857;0.42349728;0.5283019;0.22801302;0.17753624;0.3533123;0.55764072;0.56743004;5;5;0;3;0;2;4;0;0;0;0;0;12;91;20;0.00545124167171;0.0484554815263;0.110841913992;0.159903089037;0.0448213204119;0.0938824954573;0.135675348274;0.0423985463356;0.0296789824349;0.0678376741369;0.125984251969;0.135069654755;14;14;0


Group B
FCPortugal2007;6;4;0;0;10;0.09936909;0.19928507;0.36121674;0.50833332;0.16564417;0.34949497;0.25065273;0.46753246;0.051759834;0.28131416;0.4009324;0.60389606;0;0;0;0;0;0;5;3;1;0;0;1;12;74;96;0.0486111111111;0.172067901235;0.146604938272;0.0470679012346;0.0208333333333;0.133487654321;0.0740740740741;0.0277777777778;0.0192901234568;0.105709876543;0.132716049383;0.0717592592593;11;11;0
Nemesis;5;10;1;0;16;0.08441559;0.25174826;0.5154004;0.7329193;0.0;0.4308094;0.4282828;0.5766871;0.04166667;0.39163498;0.54423595;0.3927445;0;0;0;0;0;0;5;1;0;0;3;3;18;145;43;0.00573698146514;0.0476610767873;0.110767872904;0.156222418358;0.0;0.0728155339806;0.0935569285084;0.0414827890556;0.00220653133274;0.0909090909091;0.268755516328;0.109885260371;20;20;0

FCPortugal2007;7;2;1;0;10;0.040935674;0.20262665;0.33818184;0.8511904;0.2986111;0.4881235;0.3462783;0.45454548;0.069930067;0.19854721;0.30035336;0.14285715;1;1;0;1;0;0;1;0;0;0;0;2;8;60;94;0.00546875;0.084375;0.07265625;0.11171875;0.0671875;0.32109375;0.08359375;0.02734375;0.0234375;0.128125;0.06640625;0.00859375;16;16;0
OPU_hana_2D;7;9;0;0;16;0.33766235;0.4664311;0.59200966;0.63170166;0.23376623;0.3398058;0.25415676;0.25;0.029761906;0.42181816;0.56472797;0.57894737;7;7;0;1;0;6;7;2;0;0;2;0;10;74;23;0.0140692640693;0.0714285714286;0.26461038961;0.146645021645;0.00974025974026;0.0568181818182;0.115800865801;0.038961038961;0.00270562770563;0.0627705627706;0.162878787879;0.0535714285714;16;16;0

HELIOS2007;3;10;0;0;13;0.33333336;0.4651163;0.6356877;0.62144054;0.47826088;0.50704224;0.46092503;0.28484848;0.0;0.18592964;0.588;0.72645744;7;7;0;5;0;2;15;3;0;0;3;0;15;107;52;0.00147783251232;0.0492610837438;0.252709359606;0.18275862069;0.0162561576355;0.0709359605911;0.14236453202;0.0231527093596;0.0;0.0364532019704;0.144827586207;0.079802955665;27;27;0
FCPortugal2007;6;4;0;0;10;0.058295965;0.19;0.56030148;0.894958;0.29696972;0.33014355;0.20422535;0.1884058;0.06867672;0.11400249;0.15348837;0.0;2;2;0;0;0;2;2;0;0;0;0;3;3;46;42;0.0125361620058;0.0916104146577;0.215043394407;0.205400192864;0.0472516875603;0.199614271938;0.0559305689489;0.0125361620058;0.0395371263259;0.0887174541948;0.0318225650916;0.0;7;7;0

HELIOS2007;5;11;0;0;16;0.036842103;0.4187279;0.60490047;0.3305785;0.5283019;0.21218962;0.51530613;0.22651934;0.11063829;0.43378998;0.6172608;0.6086142;0;0;0;0;0;0;11;10;0;1;5;1;23;125;90;0.00308234258036;0.104359313078;0.173932188463;0.0176133861735;0.0246587406429;0.0413914575077;0.0889476001761;0.0180537208278;0.0114487010128;0.0836635843241;0.289740202554;0.14310876266;21;21;0
Nemesis;1;8;0;0;9;0.12172285;0.22045029;0.37214615;0.6425532;0.34254143;0.40561222;0.56884872;0.16981133;0.08264462;0.2128637;0.4240283;0.768421;0;0;0;0;0;0;2;1;0;0;5;10;21;123;39;0.0396341463415;0.143292682927;0.0993902439024;0.0920731707317;0.0378048780488;0.0969512195122;0.153658536585;0.0109756097561;0.00609756097561;0.084756097561;0.146341463415;0.0890243902439;20;20;0

HELIOS2007;4;12;0;0;16;0.15151516;0.37434093;0.42522522;0.6747405;0.28342247;0.32425743;0.39795918;0.47328247;0.038022811;0.17241379;0.23857868;0.75524475;4;4;0;4;0;0;9;0;0;0;0;0;9;70;70;0.0175849941383;0.124853458382;0.138335287222;0.228604923798;0.0310668229777;0.0767878077374;0.114302461899;0.109026963658;0.00586166471278;0.0351699882767;0.0550996483001;0.063305978898;20;20;0
OPU_hana_2D;12;7;0;0;19;0.062937064;0.48477158;0.6321839;0.85171104;0.26972012;0.32857143;0.38366337;0.4117647;0.09342561;0.40360363;0.4059754;0.6868687;2;2;0;1;0;1;10;0;0;0;0;0;13;78;23;0.00503355704698;0.106823266219;0.123042505593;0.125279642058;0.0592841163311;0.0900447427293;0.0866890380313;0.0430648769575;0.0302013422819;0.125279642058;0.129194630872;0.076062639821;12;12;0

OPU_hana_2D;10;11;0;0;21;0.10909091;0.39119804;0.47924526;0.6824324;0.35643566;0.2443946;0.21081081;0.08695652;0.09710744;0.50956284;0.6165228;0.67567566;3;0;3;0;1;2;12;6;0;0;2;1;9;77;28;0.018643190057;0.0828586224754;0.13153806318;0.0523045054376;0.0372863801139;0.0564474365614;0.0605903676851;0.00621439668566;0.0243397203521;0.193164163646;0.258933195236;0.0776799585707;11;11;0
Nemesis;4;12;2;0;18;0.0990991;0.23057953;0.29918034;0.6508264;0.26086956;0.51171173;0.50672646;0.38118813;0.12837837;0.26415094;0.4621027;0.7242425;0;0;0;0;0;0;9;1;0;1;4;6;17;139;28;0.0112647209421;0.0957501280082;0.112135176651;0.161290322581;0.0184331797235;0.145417306708;0.115719406042;0.0394265232975;0.00972862263185;0.0716845878136;0.0967741935484;0.122375832053;29;29;0


Group C
CZU;9;8;0;0;17;0.09048724;0.30045874;0.47007042;0.58666664;0.088;0.25584797;0.18787878;0.6601308;0.1032258;0.23058825;0.13758389;0.5873016;2;2;0;1;0;1;6;0;0;0;0;4;5;55;64;0.0306845003934;0.103068450039;0.210070810386;0.173092053501;0.0173092053501;0.13768686074;0.0975609756098;0.0794649881983;0.0125885129819;0.0771046420142;0.0322580645161;0.0291109362707;12;12;0
Dainamite;5;5;0;0;10;0.06349207;0.31208054;0.48235294;0.62580647;0.11764706;0.46060608;0.4429825;0.48;0.16266666;0.3978873;0.4793578;0.6937355;2;2;0;0;0;2;16;4;0;1;3;0;21;117;22;0.00206291903043;0.0479628674575;0.105724600309;0.0500257864879;0.00928313563693;0.156781846313;0.156266116555;0.0618875709128;0.031459515214;0.116554925219;0.10778751934;0.154203197524;15;15;0

Dainamite;3;11;0;0;14;0.15254237;0.3457627;0.57567917;0.7770961;0.06363636;0.6312849;0.32542374;0.66137566;0.0;0.3856502;0.6879795;0.62356323;3;3;0;2;0;1;23;2;0;0;2;1;19;138;48;0.00374376039933;0.0424292845258;0.185108153078;0.158069883527;0.00291181364393;0.0940099833611;0.119800332779;0.155990016639;0.0;0.0357737104825;0.111896838602;0.0902662229617;21;21;0
Ri-one2007;4;4;1;0;9;0.037356322;0.20460358;0.529148;0.8024691;0.11816578;0.46779663;0.17877094;0.74545456;0.026584868;0.19404917;0.41694916;0.64406784;1;0;1;1;0;0;5;1;0;0;1;2;7;44;20;0.0105949470253;0.0651996740016;0.0961695191524;0.0529747351263;0.0546047269764;0.337408312958;0.0521597392013;0.0668296658517;0.0105949470253;0.122249388753;0.100244498778;0.0309698451508;8;8;0

KickOffTUG;2;0;0;0;2;0.025641026;0.0;0.0;0.0;0.08599168;0.48891235;0.018348624;0.0;0.0686901;0.30769232;0.0;0.0;0;0;0;0;0;0;0;0;0;0;1;20;5;54;38;0.0118694362018;0.0;0.0;0.0;0.0919881305638;0.686943620178;0.00296735905045;0.0;0.0637982195846;0.142433234421;0.0;0.0;1;1;0
CZU;0;13;0;0;13;0.0;0.0;0.53846157;0.64377;0.0;0.34862385;0.25871172;0.46601944;0.0;1.0;0.6409267;0.55128204;5;4;1;0;0;5;34;20;1;0;18;0;10;66;14;0.0;0.0;0.109803921569;0.26339869281;0.0;0.0248366013072;0.160130718954;0.219607843137;0.0;0.00130718954248;0.108496732026;0.112418300654;12;12;0

KickOffTUG;1;0;0;0;1;0.17622952;0.0066225165;0.0;0.0;0.11061452;0.39595142;0.05;0.0;0.3290816;0.09913794;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;20;12;65;36;0.0545685279188;0.00253807106599;0.0;0.0;0.125634517766;0.620558375635;0.00380710659898;0.0;0.163705583756;0.0291878172589;0.0;0.0;0;0;0
Dainamite;4;10;1;0;15;0.0;0.60000004;0.6810345;0.35714287;0.0;0.71666664;0.48906883;0.61340786;0.0;0.27586206;0.7350993;0.5860656;6;6;0;3;0;3;39;20;1;0;19;0;21;123;17;0.0;0.00477707006369;0.083864118896;0.0743099787686;0.0;0.0228237791932;0.32059447983;0.291401273885;0.0;0.00849256900212;0.117834394904;0.0759023354565;28;28;0

KickOffTUG;2;0;0;0;2;0.03960396;0.13253013;0.0;0.0;0.17662338;0.47046844;0.0;0.0;0.16893204;0.39545456;0.0;0.0;0;0;0;0;0;0;0;0;1;0;2;11;2;29;20;0.00819672131148;0.0225409836066;0.0;0.0;0.139344262295;0.473360655738;0.0;0.0;0.178278688525;0.178278688525;0.0;0.0;2;2;0
Ri-one2007;0;3;0;0;3;0.0;0.0;0.17727272;0.24271845;0.0;0.9238095;0.2729124;0.15064936;0.0;0.952381;0.09638554;0.05940594;8;6;2;8;0;0;4;11;5;0;3;0;4;33;11;0.0;0.0;0.0769230769231;0.246548323471;0.0;0.191321499014;0.264299802761;0.114398422091;0.0;0.0788954635108;0.0157790927022;0.0118343195266;4;4;0

Ri-one2007;2;3;0;0;5;0.0625;0.18942732;0.31594202;0.36263737;0.1101695;0.38193344;0.30543932;0.34375;0.070217915;0.11380597;0.051546392;0.5903614;2;2;0;2;0;0;4;0;0;0;0;0;0;32;50;0.0246913580247;0.0589849108368;0.149519890261;0.0905349794239;0.0178326474623;0.330589849108;0.100137174211;0.0301783264746;0.039780521262;0.0836762688615;0.00685871056241;0.0672153635117;3;3;0
CZU;6;5;0;0;11;0.08433735;0.56701027;0.58022385;0.46973366;0.359375;0.23849373;0.24405706;0.53389828;0.25274727;0.2115942;0.50660793;0.43055553;0;0;0;0;0;0;5;0;0;0;0;0;3;53;33;0.00572831423895;0.0450081833061;0.254500818331;0.15875613748;0.018821603928;0.0466448445172;0.126022913257;0.0515548281506;0.037643207856;0.0597381342062;0.0941080196399;0.10147299509;7;7;0


Group D
Brainstormers07;0;16;1;0;17;0.12280702;0.33333336;0.20308483;0.5745165;0.58064514;0.5;0.30268198;0.62128323;0.16981133;0.4468085;0.49027237;0.50931675;10;4;6;4;1;5;49;7;0;0;7;0;23;134;30;0.0127272727273;0.0412121212121;0.0478787878788;0.306060606061;0.0109090909091;0.0363636363636;0.0478787878788;0.240606060606;0.00545454545455;0.0254545454545;0.0763636363636;0.149090909091;20;20;0
YowAI;1;3;0;0;4;0.10144927;0.10894941;0.4680851;0.6792453;0.10328638;0.394636;0.10833333;0.0;0.10807736;0.55784065;0.5588235;0.7251462;0;0;0;0;0;0;0;0;0;0;0;7;2;32;22;0.0551181102362;0.0314960629921;0.0494938132733;0.0404949381327;0.07424071991;0.115860517435;0.0146231721035;0.0;0.106861642295;0.244094488189;0.128233970754;0.139482564679;2;2;0

NCL07;3;5;0;1;9;0.10978519;0.4238806;0.46025105;0.69565216;0.06117647;0.24289406;0.29900333;0.34615387;0.0605428;0.5269608;0.4375;0.6666667;0;0;0;0;0;0;3;0;0;0;0;3;9;67;48;0.0345864661654;0.106766917293;0.0827067669173;0.0721804511278;0.0195488721805;0.0706766917293;0.0676691729323;0.0406015037594;0.0218045112782;0.161654135338;0.168421052632;0.153383458647;9;9;0
Brainstormers07;3;9;0;0;12;0.078431377;0.29882812;0.34068626;0.65762;0.25641027;0.54485046;0.63049095;0.6682353;0.1594203;0.2761506;0.39701492;0.66825775;3;0;3;0;0;3;36;3;0;0;3;0;15;115;19;0.0128755364807;0.0820815450644;0.0745708154506;0.168991416309;0.0214592274678;0.087982832618;0.130901287554;0.152360515021;0.0118025751073;0.0354077253219;0.0713519313305;0.150214592275;11;11;0

NCL07;4;13;0;0;17;0.08;0.28849903;0.38372093;0.6953405;0.34782608;0.32520325;0.39242683;0.40922188;0.21686749;0.16666668;0.38976376;0.71870605;4;4;0;0;0;4;34;7;0;0;7;0;14;84;44;0.00650406504065;0.080216802168;0.0894308943089;0.105149051491;0.0216802168022;0.0433604336043;0.123577235772;0.0769647696477;0.0292682926829;0.039566395664;0.107317073171;0.276964769648;15;15;0
YowAI;7;4;0;0;11;0.074542894;0.31692913;0.5958904;0.47791164;0.31123919;0.44406197;0.48780487;0.34782608;0.09318996;0.41162792;0.5575049;0.76;3;3;0;1;1;1;7;0;0;0;0;7;12;77;21;0.0307603017992;0.0934416715032;0.151479976785;0.069065583285;0.062681369704;0.149738827626;0.0696459663378;0.0232153221126;0.0150899593732;0.102727800348;0.165989553105;0.0661636680209;19;19;0


Group E
CZU;7;5;0;0;12;0.08389262;0.28994083;0.39249146;0.24822695;0.35772358;0.53517586;0.54000004;0.36666668;0.1858586;0.31367292;0.3897996;0.7592593;3;2;1;2;0;1;7;0;0;0;0;2;14;90;40;0.0146541617819;0.0574443141852;0.067409144197;0.0205158264947;0.0257913247362;0.124853458382;0.189917936694;0.0386869871043;0.0539273153576;0.137162954279;0.125439624853;0.144196951934;11;11;0
NCL07;4;12;0;0;16;0.117283945;0.41165756;0.51742626;0.6080808;0.2888889;0.28166666;0.2638191;0.4308943;0.30496454;0.53583614;0.40236687;0.66442955;0;0;0;0;0;0;10;2;0;0;2;0;14;94;23;0.0203862660944;0.121244635193;0.207081545064;0.161480686695;0.0278969957082;0.0906652360515;0.056330472103;0.0284334763948;0.0230686695279;0.0842274678112;0.0729613733906;0.106223175966;17;17;0

FCPortugal2007;12;3;0;0;15;0.054187193;0.11627908;0.40434784;0.09230769;0.36036034;0.2425;0.26865673;0.625;0.14745309;0.27348644;0.43302753;0.61627907;0;0;0;0;0;0;5;1;0;0;1;0;8;67;78;0.0176565008026;0.0601926163724;0.0746388443018;0.00481540930979;0.0321027287319;0.15569823435;0.0433386837881;0.0401284109149;0.0441412520064;0.210272873194;0.189406099518;0.127608346709;9;9;0
NCL07;4;9;1;0;14;0.07364341;0.24770643;0.51983295;0.6487936;0.025;0.4278607;0.48;0.27927929;0.2923077;0.42608696;0.7875969;0.7955665;2;2;0;1;0;1;10;0;0;0;0;1;19;103;29;0.00810234541578;0.0575692963753;0.21236673774;0.103198294243;0.000852878464819;0.0366737739872;0.163752665245;0.0132196162047;0.00810234541578;0.0417910447761;0.216631130064;0.137739872068;27;27;0

HELIOS2007;7;10;0;0;17;0.29323309;0.32967033;0.36166363;0.34934498;0.016666667;0.3467153;0.30217392;0.33566433;0.0;0.5212766;0.34911243;0.6482618;6;6;0;4;0;2;6;0;0;0;0;0;11;76;42;0.0253082414017;0.0973393900065;0.129785853342;0.15574302401;0.00129785853342;0.123296560675;0.0902011680727;0.0311486048021;0.0;0.0635950681376;0.0765736534718;0.205710577547;12;12;0
CZU;6;4;1;0;11;0.06748466;0.34615387;0.3510638;0.55555557;0.18181818;0.48913044;0.3978102;0.55;0.34352257;0.3887884;0.48131866;0.30827066;2;2;0;0;0;2;4;0;0;0;0;0;14;84;27;0.0223425863236;0.0792146242383;0.0446851726473;0.0101557210562;0.0176032498307;0.152335815843;0.14759647935;0.0446851726473;0.159783344617;0.145565335139;0.14827352742;0.0277589708869;14;14;0

HELIOS2007;2;12;1;0;15;0.04861111;0.16635859;0.6481481;0.7406015;0.51162792;0.1779661;0.60330574;0.44927536;0.11340206;0.18767122;0.61911987;0.8051342;2;2;0;0;0;2;19;0;0;0;0;0;12;89;54;0.00305143853531;0.0392327811683;0.183086312119;0.0858761987794;0.00959023539669;0.0183086312119;0.0636442894507;0.0540540540541;0.00479511769834;0.0597210113339;0.177855274629;0.300784655623;19;19;0
