;aa_gamesplayed;attacks_BROKEN;attacks_FAST;attacks_MEDIUM;attacks_SLOW;attacks_total;dominance_leftwing_1stquarter;dominance_leftwing_2ndquarter;dominance_leftwing_3rdquarter;dominance_leftwing_4thquarter;dominance_middlewing_1stquarter;dominance_middlewing_2ndquarter;dominance_middlewing_3rdquarter;dominance_middlewing_4thquarter;dominance_rightwing_1stquarter;dominance_rightwing_2ndquarter;dominance_rightwing_3rdquarter;dominance_rightwing_4thquarter;goalmisses;goalmisses_GOALIE_CATCHED;goalmisses_OUTSIDE;goalmisses_kickedfrom_FAR_SHOT;goalmisses_kickedfrom_GOAL_AREA;goalmisses_kickedfrom_PENALTY_AREA;goalopportunities;goals;goals_kickedfrom_FAR_SHOT;goals_kickedfrom_GOAL_AREA;goals_kickedfrom_PENALTY_AREA;goalssuffered;passchains;passes;passmisses;timein_leftwing_1stquarter;timein_leftwing_2ndquarter;timein_leftwing_3rdquarter;timein_leftwing_4thquarter;timein_middlewing_1stquarter;timein_middlewing_2ndquarter;timein_middlewing_3rdquarter;timein_middlewing_4thquarter;timein_rightwing_1stquarter;timein_rightwing_2ndquarter;timein_rightwing_3rdquarter;timein_rightwing_4thquarter;wingchanges;wingchanges_partialvariation;wingchanges_totalvariation
NCL08;4;37;26;1;0;64;0.83305657;1.40586558;1.94979625;2.27542228;0.70985822;1.33182034;1.33490722;0.528028645;0.94564672;1.63338705;2.12285921;2.26286462;4;3;1;1;0;3;17;2;0;1;2;20;37;286;110;0.167615520229;0.544665081379;0.613347468444;0.36750145394;0.131790490042;0.419174652681;0.226044096857;0.0451888304048;0.08999367779;0.340359201325;0.524717773908;0.529601753;63;63;0
NCL09;9;74;68;16;0;158;0.611520299;2.66638925;5.05578544;4.46637543;2.036606935;2.9965906;3.30084131;1.498429914;1.678138313;3.82829166;6.00436223;5.7888242;22;22;0;11;0;11;53;20;1;1;19;35;93;641;159;0.151240308724;0.877915777714;1.50268304807;0.809749550251;0.211378443657;0.830914991702;0.73176856648;0.104416432511;0.131591010856;0.813808102324;1.67564043072;1.15889333699;152;152;0
NCL07;7;37;69;1;1;108;0.864298625;2.60605443;3.56428833;4.57001023;1.23533225;2.27080345;2.85090584;2.04449572;1.30569224;2.69059791;3.80304762;4.8039297;16;15;1;8;0;8;78;10;0;0;10;6;111;731;257;0.150861098507;0.736654011595;1.22746095204;0.664562958034;0.129105742793;0.402366074327;0.66907953148;0.193139263075;0.13887067335;0.5824129279;1.19433044468;0.911156322211;134;134;0
Brainstormers08;6;26;62;1;0;89;0.80051045;2.13912047;2.43781439;3.50055321;1.64019609;2.81046499;2.17638718;2.97708066;0.71702553;1.80939771;2.08075493;3.08145114;15;12;3;9;0;6;89;34;2;1;27;2;81;574;91;0.129051698613;0.534433317748;0.644816474707;1.0919106309;0.0673314066221;0.436185117074;0.630093889319;0.692682763616;0.0952360910459;0.379199729713;0.406640897335;0.89241798331;79;79;0
LEAKINDROPS_1;1;8;3;3;0;14;0.08907563;0.10160056;0.54189945;0.8;0.23076923;0.2361809;0.56643356;0.6768293;0.18367348;0.11144807;0.75072044;0.7586207;0;0;0;0;0;0;10;1;0;0;2;1;12;95;4;0.0280571731075;0.0772895712017;0.102699841186;0.0571731074643;0.0142932768661;0.0746426680783;0.0857596611964;0.0587612493383;0.0428798305982;0.0778189518264;0.275807305453;0.104817363684;35;35;0
WrightEagle;3;13;25;2;0;40;0.95389807;0.97321899;1.51895851;2.5132484;0.70906168;2.08795665;1.5822377;1.86062188;0.591347646;0.59364666;1.09934304;1.93971393;0;0;0;0;0;0;34;6;0;0;7;4;44;333;44;0.151197927839;0.128414421466;0.25767411628;0.381697432957;0.0456033464694;0.369261690739;0.260619498569;0.349936463252;0.119334273643;0.149475526354;0.280542488466;0.506242813967;49;49;0
Ri-one;6;34;29;0;0;63;0.818082495;1.22293916;3.28204459;2.72565336;2.07057793;2.71053293;2.36919326;2.51406007;1.21865133;1.60252146;2.40093127;2.62809706;13;12;1;8;1;4;38;19;1;1;17;13;84;518;138;0.127254230134;0.265785869907;0.544552123917;0.38774188978;0.273916473764;1.22672871245;0.742763315865;0.429099047789;0.419086557719;0.657938806572;0.573760332075;0.351372640024;98;98;0
TokyoTech2006;7;37;79;3;1;120;1.332968666;2.26046644;3.74201213;4.45961112;1.278534856;1.832215;2.63525025;2.66523963;1.55010934;2.14667451;3.07249244;4.51166674;41;37;4;11;1;29;184;30;1;0;26;1;73;561;273;0.0868332926865;0.417492650919;1.00558167579;1.3305264879;0.0677508739455;0.442728226822;0.874459394484;0.503901945365;0.108038343895;0.341218864751;0.712943152044;1.10852509139;131;131;0
AT-Humboldt;9;38;38;14;0;90;0.926124259;2.91234211;4.53868263;3.84311342;2.49786107;4.55257142;5.20183074;2.341606357;1.711323783;2.85280982;4.13470302;2.92496034;19;19;0;14;0;5;17;1;0;1;2;13;144;917;313;0.146206973953;0.699635963335;1.23453278134;0.792565016247;0.605609458581;1.70011845156;1.64217018981;0.149007072073;0.230536856415;0.534864015067;0.774836952837;0.489916268783;139;139;0
Ri-one2007;6;19;14;1;0;34;0.393919544;0.699357751;1.10375809;1.40782492;0.8007404;2.55056245;1.431844386;1.72105692;0.288837971;1.62737192;0.682420421;2.04383518;15;12;3;12;1;2;14;13;7;0;5;7;13;216;248;0.147383602115;0.267769157182;0.341082143328;0.390058038022;0.497045914949;1.81364190935;0.94847712252;0.350839965615;0.305304083564;0.607582514408;0.161972491343;0.168843057601;23;23;0
NCL08_1;1;11;9;2;0;22;0.06130268;0.18731989;0.843821;0.7346939;0.15853659;0.33916084;0.60301506;0.3846154;0.11851851;0.37988827;0.88517746;0.7983193;5;5;0;3;1;1;6;1;0;0;0;1;22;163;14;0.00399002493766;0.0324189526185;0.277556109726;0.0807980049875;0.00648379052369;0.0241895261845;0.0897755610973;0.0112219451372;0.00399002493766;0.0339152119701;0.317206982544;0.118453865337;29;29;0
YowAI2006;9;45;41;1;0;87;0.825456136;3.62685184;4.27305954;3.23530802;2.50279784;3.52364041;3.132726445;2.37158131;1.61876193;4.0102673;4.82648943;4.54337449;20;20;0;6;0;14;46;4;0;0;5;34;101;701;272;0.195085168549;0.899122388837;1.04767313121;0.481721008152;0.601003294452;1.46573786651;0.871546903102;0.1684907361;0.339872276415;1.17116494913;1.21800128547;0.540580992071;130;130;0
LsuAmoyNQ;5;37;34;0;0;71;0.429273298;2.09590068;1.77330609;2.46853527;0.498794191;1.87273789;1.1873842;1.90710818;1.375478651;1.68506214;1.90661194;2.39986282;12;10;2;9;0;3;48;17;3;0;14;3;55;386;164;0.122190772247;0.656261189413;0.404951972342;0.494804939931;0.0450933625413;0.451841834159;0.552477393499;0.417194960782;0.116015074559;0.5116711177;0.662758262566;0.564739120261;58;58;0
CZU;17;104;102;3;0;209;4.31316567;7.07292502;7.77276676;8.13331487;2.626574067;5.62689388;5.84597752;5.876608289;5.00572957;7.2393942;7.80802441;8.62131343;47;38;9;10;0;37;131;32;1;0;29;31;208;1469;633;0.729680559589;1.54215149768;1.79565475291;1.37238089095;0.380077237507;2.07968293002;2.38775476526;0.899628701007;0.846992726507;1.92133331069;1.86082284645;1.18383978143;295;295;0
HELIOS2008;4;21;56;2;0;79;0.273829606;1.14638902;2.24620454;2.48741361;2.63584638;1.63065508;1.68126728;1.47889425;0.80900561;0.799327272;2.13133909;2.47514495;15;14;1;12;0;3;70;19;0;2;16;0;73;457;69;0.0150112677764;0.193061494019;0.628574405105;0.633267170223;0.0456675075105;0.274717356986;0.437523533597;0.199510750937;0.0171552443057;0.174157231802;0.761227795083;0.620126242657;92;92;0
HELIOS2009;7;47;73;16;0;136;2.08584298;2.60586354;3.84091504;3.46079111;2.402587904;2.9322746;3.976039;3.78477513;0.77813866;3.34130147;4.38216038;4.400093;19;17;2;12;1;6;116;26;1;2;23;3;155;909;166;0.153922506712;0.503293497156;1.09605540866;0.595207348767;0.0697196611006;0.478029383113;1.21374788282;0.481265149097;0.0330282519923;0.358099959547;1.04695942921;0.970671521824;218;218;0
ZJUBase;10;95;36;8;0;139;1.73125507;3.23113725;3.50179669;2.77429029;2.428014603;3.66465585;4.375770862;3.470426634;1.84159003;3.40276318;3.64658172;3.78301441;29;28;1;20;0;9;52;8;0;1;7;9;62;642;303;0.311415694303;0.886484303525;0.722113574674;0.180348985141;0.25892127282;1.47106070465;2.03352277301;0.599958962637;0.352554627776;1.26180546792;1.37899840318;0.542815230364;64;64;0
WE2006;7;37;54;3;0;94;1.34185705;1.80737481;2.8151649;4.2831701;2.44654846;4.11565187;4.00928742;3.88863396;1.13294548;2.20660171;3.15282582;4.7450682;23;19;4;10;0;13;103;27;2;0;25;4;139;833;262;0.195552318086;0.401791994256;0.558226742536;0.570636427606;0.253669649616;0.90253371955;1.43436750354;0.818983570335;0.136331331239;0.357575798038;0.612553147648;0.757777797549;147;147;0
WE2007;5;11;53;2;0;66;1.57692512;1.48087267;2.10110311;2.88310248;2.59755448;2.23892972;2.53674123;2.36738873;0.724681635;1.99584918;1.59564168;2.78560423;18;15;3;10;1;7;84;48;1;1;44;4;91;507;165;0.134134540604;0.206175557367;0.478860306397;0.473103183695;0.290448608138;0.61524066536;1.06161499505;0.649669287908;0.182735425043;0.275325080864;0.302505214746;0.330187134829;83;83;0
WE2008;7;21;59;2;2;84;1.70811869;2.81004594;3.193017;3.49366833;1.69671253;3.49421587;3.003977;2.47784655;0.900994982;2.51004691;2.92563551;3.43220635;28;27;1;22;1;5;58;19;2;0;16;6;94;614;133;0.239096803145;0.401488451626;0.621366345027;0.461306606956;0.125152574716;0.915287650111;1.23694085568;0.479866431098;0.18660561804;0.555392913385;0.919382644763;0.858113105452;103;103;0
Ri-one_2006;6;23;39;0;0;62;0.783842836;0.488640695;0.175745794;0.0;0.76643067;1.30094145;1.62811299;3.07907932;0.7451746104;0.657091925;0.257507684;0.20054946;9;7;2;6;0;3;51;28;1;0;27;1;38;318;346;0.222937583796;0.663476233495;0.0365404256356;0.0;0.123522461945;1.33824258951;1.55539953016;0.817572882044;0.218717114114;0.976368232334;0.0371978213426;0.0100251256281;41;41;0
HELIOS2007;6;29;68;1;0;98;0.949036683;2.28251595;3.24738982;3.32072062;1.914814487;1.92767482;2.42703841;2.04061802;0.383450441;2.07759368;2.84139118;4.26551689;22;22;0;15;0;7;74;14;0;1;9;9;83;550;335;0.0645377960869;0.551714726806;1.02611013559;0.872548563457;0.106664812136;0.489963858846;0.542169020502;0.288517199742;0.0349181740889;0.377443610602;0.794126871569;0.851285230576;120;120;0
OPU_hana_2D;12;134;76;5;0;215;2.730377934;5.41229968;6.36465303;5.67854907;2.31851429;3.54276175;2.877909265;3.41279252;0.989732454;5.73038028;5.78550906;5.56992841;32;26;6;12;2;18;82;21;0;0;15;27;104;804;260;0.235294565684;1.41056199305;2.20697366595;0.882480854041;0.330975863541;1.42987301797;1.11369790283;0.444492667475;0.165747929105;1.52165978289;1.69965175822;0.558589999235;141;141;0
